"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","上の宮","菊名",15,46000000,100,"","",95,"2007年","木造","","","北西","公道",4,"１種住居",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","上の宮","菊名",10,58000000,105,"","",95,"2017年","木造","","","東","公道",4.5,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","岸谷","生麦",10,52000000,90,"","",95,"2021年","","","","南東","",3.9,"近隣商業",80,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","下末吉","鶴見",20,41000000,55,"","",100,"2019年","木造","","","","公道",4,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","馬場","鶴見","",37000000,170,"","",105,"2013年","木造","","","南西","私道",4,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","馬場","鶴見","",18000000,150,"","",85,"1986年","木造","","","北西","私道",2.8,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","馬場","鶴見","",20000000,70,"","",125,"1996年","木造","","","北西","公道",3.9,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","馬場","菊名",20,59000000,115,"","",100,"2024年","木造","","","南東","公道",5,"１低住専",60,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","馬場","菊名","",51000000,160,"","",105,"2019年","木造","","","西","公道",3.3,"１低住専",60,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","本町通","京急鶴見",15,65000000,80,"","",125,"","","","","","","","１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","矢向","尻手",5,60000000,55,"","",105,"2025年","木造","","","南西","公道",5.5,"近隣商業",80,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","矢向","矢向",5,48000000,80,"","",100,"2012年","木造","","","北東","私道",4.5,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","朝日町","安善",10,31000000,55,"","",95,"2010年","木造","","","東","",4,"準工業",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","寺谷","鶴見",10,61000000,55,"","",95,"2023年","木造","","","南東","私道",5.5,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","東寺尾北台","鶴見",20,34000000,110,"","",95,"1991年","木造","","","北西","公道",5.8,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","東寺尾東台","花月総持寺",15,29000000,80,"","",105,"2000年","木造","","","北","私道",5.5,"２中住専",60,150,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","東寺尾東台","生麦",20,45000000,105,"","",90,"2024年","木造","","","北","公道",4,"２中住専",60,150,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","東寺尾東台","生麦",20,46000000,90,"","",90,"2024年","木造","","","北","公道",4,"２中住専",60,150,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","東寺尾東台","花月総持寺",15,54000000,95,"","",90,"2025年","木造","","","","","","２中住専",60,150,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","平安町","鶴見市場",10,55000000,105,"","",90,"2013年","木造","","","西","公道",8,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","平安町","鶴見市場",10,48000000,80,"","",100,"2025年","木造","","","北","",8,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","上末吉","鶴見","",60000000,245,"","",245,"1997年","軽量鉄骨造","","","北","公道",4,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","上末吉","鶴見","",34000000,50,"","",90,"2013年","木造","","","北東","私道",4.5,"１種住居",60,180,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","北寺尾","菊名",20,42000000,100,"","",100,"2010年","木造","","","南東","公道",6,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","獅子ケ谷","鶴見","",38000000,65,"","",100,"2016年","木造","","","北","私道",4.5,"準工業",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","東寺尾","鶴見","",35000000,75,"","",85,"2024年","木造","","","南西","",4,"１中住専",60,150,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","東寺尾中台","鶴見",20,46000000,70,"","",100,"2018年","木造","","","南東","公道",6.2,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","潮田町","鶴見","",32000000,50,"","",85,"2015年","木造","","","東","公道",8,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","江ケ崎町","矢向",20,59000000,105,"","",95,"2025年","木造","","","","","","１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","江ケ崎町","矢向",20,42000000,50,"","",80,"2004年","木造","","","東","公道",6.3,"１低住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","江ケ崎町","矢向",25,36000000,105,"","",95,"2000年","木造","","","北","私道",4.5,"工業",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","上の宮","菊名",15,38000000,135,"","",145,"1997年","木造","","","北","公道",4,"１種住居",60,160,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","汐入町","弁天橋",10,46000000,50,"","",100,"2024年","木造","","","西","公道",5.9,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","下末吉","鶴見","",50000000,205,"","",115,"2013年","木造","","","","","","２中住専",60,150,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","下末吉","鶴見",20,36000000,50,"","",85,"2018年","木造","","","北西","私道",2.5,"近隣商業",80,240,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","下末吉","鶴見",20,60000000,105,"","",110,"2025年","木造","","","","","","１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","下末吉","鶴見",20,54000000,110,"","",105,"2024年","木造","","","","","","２中住専",60,150,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","下末吉","鶴見",20,54000000,100,"","",105,"2024年","木造","","","","","","２中住専",60,150,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","下末吉","鶴見",20,59000000,105,"","",105,"2025年","木造","","","","","","２中住専",60,150,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","下末吉","鶴見",20,59000000,105,"","",105,"2025年","木造","","","","","","２中住専",60,150,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","下末吉","尻手",25,41000000,50,"","",85,"2025年","木造","","","西","私道",4,"１種住居",60,160,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","鶴見","鶴見",15,280000000,740,"","",125,"","木造","","","北","公道",4.2,"２中住専",60,150,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","生麦","生麦",10,40000000,65,"","",105,"2025年","木造","","","","","","準工業",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","馬場","鶴見","",27000000,75,"","",60,"2011年","木造","","","南東","私道",4,"１低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","馬場","菊名",20,22000000,55,"","",50,"2021年","木造","","","","","","１低住専",60,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","馬場","鶴見","",26000000,95,"","",45,"2015年","木造","","","東","公道",4,"２中住専",60,150,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","馬場","菊名",20,60000000,150,"","",110,"2025年","木造","","","北東","公道",3.8,"１低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","馬場","鶴見","",46000000,120,"","",115,"2025年","木造","","","","","","１低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","馬場","鶴見","",18000000,135,"","",110,"1986年","軽量鉄骨造","","","北東","私道",4,"２低住専",60,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","馬場","菊名",15,65000000,125,"","",100,"2025年","木造","","","","","","２低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","馬場","菊名",15,64000000,140,"","",105,"2025年","木造","","","","","","２低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","馬場","鶴見","",54000000,120,"","",95,"2024年","木造","","","西","公道",4,"１低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","元宮","鶴見市場",10,45000000,65,"","",95,"2016年","木造","","","北東","公道",8.2,"準工業",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","元宮","鶴見市場",10,45000000,50,"","",85,"2024年","木造","","","西","私道",4.1,"準工業",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","矢向","尻手",15,56000000,100,"","",100,"2009年","木造","","","東","私道",4.5,"工業",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","市場東中町","鶴見市場",5,49000000,55,"","",90,"2025年","木造","","","北東","私道",4,"１種住居",70,160,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","市場東中町","鶴見市場",5,49000000,55,"","",95,"2025年","木造","","","北西","公道",4,"１種住居",70,160,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","小野町","鶴見小野",5,31000000,35,"","",65,"2024年","木造","","","","","","工業",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","小野町","鶴見小野",5,40000000,105,"","",80,"1970年","木造","","","","","","準工業",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","上の宮","菊名",15,55000000,110,"","",100,"2019年","木造","","","北東","公道",6.5,"１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","上の宮","菊名",15,43000000,115,"","",100,"2002年","木造","","","","","","１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","上の宮","菊名",15,44000000,110,"","",80,"1973年","木造","","","","","","１種住居","","","2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","上の宮","菊名",10,72000000,170,"","",105,"2017年","木造","","","北東","公道",4,"１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","上の宮","菊名",15,49000000,90,"","",85,"2022年","木造","","","北東","公道",6.4,"１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","岸谷","花月総持寺",5,47000000,75,"","",90,"2018年","木造","","","北西","公道",9,"１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","岸谷","生麦",15,48000000,125,"","",130,"1999年","木造","","","","公道",3.4,"２中住専",60,150,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","岸谷","生麦",10,13000000,90,"","",80,"1965年","木造","","","","公道","","２中住専",60,150,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","汐入町","鶴見","",30000000,45,"","",70,"2025年","木造","","","北西","公道",4,"１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","汐入町","鶴見小野",10,32000000,75,"","",75,"1989年","木造","","","南東","私道",4,"１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","下末吉","鶴見","",45000000,120,"","",155,"2001年","軽量鉄骨造","","","西","公道",6.7,"２中住専",60,150,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","下末吉","鶴見",20,50000000,150,"","",105,"2025年","木造","","","","","","１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","下末吉","鶴見",20,55000000,100,"","",105,"2025年","木造","","","","","","２中住専",60,150,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","下末吉","鶴見",20,55000000,105,"","",105,"2025年","木造","","","","","","２中住専",60,150,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","下末吉","鶴見",20,55000000,105,"","",105,"2025年","木造","","","","","","２中住専",60,150,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","下末吉","鶴見","",37000000,50,"","",85,"2025年","木造","","","東","",4,"１種住居",60,160,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","下末吉","鶴見","",35000000,50,"","",85,"2025年","木造","","","北","",4,"近隣商業",80,240,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","下末吉","鶴見","",40000000,50,"","",90,"2025年","木造","","","東","",4,"１種住居",70,160,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","下末吉","尻手",25,42000000,70,"","",90,"2023年","木造","","","南","公道",4,"１種住居",60,160,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","下末吉","鶴見",20,54000000,105,"","",100,"2025年","木造","","","","","","２中住専",60,150,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","下末吉","鶴見",20,62000000,105,"","",105,"2025年","木造","","","","","","２中住専",60,150,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","下末吉","鶴見","",49000000,90,"","",110,"2025年","木造","","","","","","１中住専",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","下末吉","鶴見",20,55000000,105,"","",105,"2025年","木造","","","","","","２中住専",60,150,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","佃野町","鶴見",15,59000000,60,"","",105,"2025年","木造","","","","","","１種住居",80,300,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","鶴見","花月総持寺",5,44000000,375,"","",95,"2024年","木造","","","南東","公道","","１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","生麦","花月総持寺",10,45000000,55,"","",90,"2024年","木造","","","","","","準工業",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","生麦","生麦",10,40000000,50,"","",80,"2011年","木造","","","","","","１種住居",60,160,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","生麦","生麦",5,8500000,30,"","",25,"1970年","木造","","","","","","近隣商業",80,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","馬場","鶴見","",37000000,80,"","",90,"2025年","木造","","","西","公道",4,"１種住居",60,160,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","馬場","菊名","",35000000,320,"","",180,"1996年","木造","","","北東","公道",6.4,"１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","馬場","鶴見","",58000000,155,"","",150,"2007年","木造","","","南東","公道",4.5,"１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","馬場","菊名",20,31000000,110,"","",95,"1990年","木造","","","西","公道",2.8,"１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","馬場","鶴見","",60000000,170,"","",110,"2025年","木造","","","南東","公道",4.6,"１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","馬場","鶴見",25,52000000,110,"","",100,"2024年","木造","","","","公道",8,"１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","馬場","鶴見","",50000000,120,"","",100,"2024年","木造","","","","","","１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","馬場","菊名",20,28000000,70,"","",70,"1998年","木造","","","","","","１低住専",60,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","馬場","菊名",20,49000000,100,"","",100,"2022年","木造","","","","","","１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","馬場","鶴見","",29000000,70,"","",65,"2020年","木造","","","","私道",4,"１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","馬場","鶴見","",39000000,105,"","",100,"2017年","木造","","","東","公道",5,"１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","馬場","菊名","",25000000,105,"","",95,"1998年","木造","","","南西","私道",4.5,"１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","本町通","鶴見小野",10,39000000,60,"","",100,"1997年","木造","","","","公道",6,"１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","元宮","鶴見市場",10,49000000,110,"","",130,"1996年","鉄骨造","","","北東","私道",3,"準工業",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","矢向","尻手",5,52000000,55,"","",105,"2025年","木造","","","東","私道",4,"近隣商業",80,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","矢向","尻手",5,54000000,55,"","",110,"2025年","木造","","","東","私道",4,"近隣商業",80,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","矢向","矢向",5,46000000,45,"","",80,"2025年","木造","","","","","","１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","矢向","矢向",5,64000000,50,"","",90,"2022年","木造","","","北西","公道",6.4,"１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","矢向","尻手",15,40000000,50,"","",90,"2014年","木造","","","北","私道",5,"２種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","矢向","尻手",10,60000000,60,"","",105,"2025年","木造","","","北","私道",4,"１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","矢向","尻手",15,34000000,50,"","",85,"2014年","木造","","","東","私道",5.5,"２種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","江ケ崎町","矢向",20,58000000,100,"","",100,"2025年","木造","","","","","","１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","江ケ崎町","矢向",20,53000000,65,"","",115,"2025年","木造","","","","","","１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","江ケ崎町","矢向",20,55000000,65,"","",120,"2025年","木造","","","","","","１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","江ケ崎町","矢向",20,52000000,65,"","",120,"2025年","木造","","","","","","１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","小野町","鶴見小野","",37000000,120,"","",125,"1992年","ＲＣ","","","","","","近隣商業",80,300,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","上の宮","菊名",15,73000000,110,"","",105,"2025年","木造","","","南西","公道",6.5,"１低住専",60,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","上の宮","菊名",15,59000000,105,"","",100,"2025年","木造","","","","","","１低住専",50,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","上の宮","菊名",15,20000000,105,"","",90,"2001年","木造","","","北東","",6.4,"１低住専",50,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","岸谷","花月総持寺",10,44000000,80,"","",90,"2020年","木造","","","北","公道",4,"２中住専",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","岸谷","生麦",15,50000000,105,"","",105,"2011年","木造","","","南西","私道",5.5,"２中住専",60,150,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","岸谷","生麦",10,42000000,50,"","",75,"2025年","木造","","","北西","公道",5.4,"２中住専",60,150,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","岸谷","生麦",10,43000000,80,"","",100,"2014年","木造","","","北東","公道",7.9,"１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","岸谷","花月総持寺",15,32000000,55,"","",85,"1998年","木造","","","南東","公道",4,"２中住専",60,150,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","汐入町","京急鶴見",20,53000000,90,"","",90,"2025年","木造","","","西","公道",8,"１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","汐入町","京急鶴見",20,54000000,90,"","",100,"2025年","木造","","","西","公道",8,"１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","下末吉","鶴見","",44000000,130,"","",100,"2002年","木造","","","東","公道",4.5,"１低住専",40,80,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","下末吉","鶴見","",27000000,50,"","",85,"2019年","木造","","","北","公道",4,"１種住居",60,160,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","下末吉","鶴見",20,57000000,185,"","",105,"2025年","木造","","","","","","１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","下末吉","鶴見",20,52000000,130,"","",105,"2025年","木造","","","","","","２中住専",60,150,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","下末吉","鶴見",20,62000000,105,"","",100,"2025年","木造","","","","","","２中住専",60,150,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","下末吉","鶴見",20,49000000,100,"","",105,"2025年","木造","","","","","","２中住専",60,150,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","下末吉","鶴見","",50000000,95,"","",95,"2025年","木造","","","","","","１中住専",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","佃野町","鶴見",15,54000000,70,"","",105,"2025年","木造","","","","","","１種住居",80,300,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","佃野町","鶴見",10,58000000,55,"","",110,"2025年","木造","","","","","","１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","生麦","生麦",10,37000000,55,"","",105,"2002年","木造","","","南西","私道",4,"近隣商業",80,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","馬場","鶴見","",12000000,240,"","",55,"1996年","木造","","","南","公道",4,"１低住専",50,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","馬場","菊名",20,34000000,165,"","",140,"1993年","木造","","","南東","公道",4.4,"１低住専",60,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","馬場","鶴見","",28000000,105,"","",95,"2004年","木造","","","南東","公道",6,"１低住専",50,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","馬場","菊名","",47000000,105,"","",100,"2025年","木造","","","北東","公道",4.2,"１低住専",50,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","14101","神奈川県","横浜市鶴見区","馬場","菊名","",35000000,85,"","",105,"2017年","木造","","","","",3.7,"１種住居",60,200,"2025年第3四半期",""
